"state","Year","Month","Avg_Natural_Cause","Avg_Septicemia","Avg_Malignant_neoplasms","Avg_Diabetes_mellitus","Avg_Alzheimer_disease","Avg_Influenza_and_pneumonia","Avg_Chronic_lower_respiratory_diseases","Avg_Other_diseases_of_respiratory_system","Avg_Nephritis_nephrotic_syndrom_and_nephrosis","Avg_Symptoms_signs_abnormal_clinical_laboratory_findings","Avg_Diseases_of_heart","Avg_Cerebrovascular_diseases","Avg_COVID-19 (Underlying Cause of Death)","Avg_COVID-19 (Multiple Cause of Death)"
"Hawaii",2020,3,213,NULL,51,NULL,13,11,12,NULL,NULL,0,53,12,0,0
"North Carolina",2020,1,1970,31,405,67,92,46,121,34,43,17,391,112,139,151
"Arkansas",2020,9,675,14,131,25,30,12,41,14,18,NULL,169,30,78,92
"Alaska",2022,5,84,0,22,NULL,NULL,NULL,NULL,NULL,NULL,0,19,NULL,NULL,NULL
"United States",2020,3,55117,813,11698,1871,2554,1693,3441,1020,1069,636,13510,3098,920,978
"New Mexico",2021,11,480,NULL,64,16,15,11,19,10,13,0,83,16,125,133
"Indiana",2020,12,1903,20,264,58,60,19,90,22,28,13,318,68,609,671
"Nevada",2021,3,517,NULL,98,21,14,13,24,NULL,NULL,NULL,149,28,44,50
"Florida",2021,1,5031,59,898,175,134,68,235,55,74,65,1052,321,884,981
"Florida",2020,2,3992,53,891,140,131,80,264,63,72,63,1015,304,0,0
"Nevada",2022,1,772,NULL,106,21,20,15,36,NULL,11,11,183,30,196,213
"Minnesota",2020,12,1212,11,186,32,57,NULL,40,13,12,26,164,50,366,422
"Wisconsin",2020,10,1172,13,222,34,49,16,48,15,15,NULL,248,56,176,207
"Wyoming",2021,1,106,0,18,0,NULL,0,10,0,0,0,20,NULL,19,21
"Iowa",2020,1,621,11,122,21,29,14,44,16,10,11,159,25,33,38
"Delaware",2020,3,183,0,43,NULL,12,NULL,11,NULL,10,0,44,14,0,0
"Arizona",2022,9,1088,12,229,32,50,14,62,19,16,108,218,53,23,34
"South Carolina",2020,11,1062,19,200,39,46,12,51,18,17,14,214,55,111,125
"Vermont",2020,2,107,0,25,NULL,NULL,NULL,NULL,NULL,0,0,29,NULL,0,0
"Rhode Island",2020,4,245,0,37,NULL,14,NULL,12,NULL,0,0,50,NULL,58,68
"Pennsylvania",2020,4,3284,47,533,102,100,65,128,42,66,55,684,145,673,710
"Oklahoma",2022,9,604,NULL,123,17,28,NULL,36,0,NULL,73,151,23,20,35
"Michigan",2020,6,1725,22,387,59,81,23,90,17,34,13,463,101,64,75
"Iowa",2022,8,552,10,120,18,21,NULL,32,11,13,NULL,139,24,22,33
"Delaware",2022,3,189,NULL,43,14,11,NULL,12,NULL,0,0,37,16,NULL,12
"New York",2021,4,1540,15,303,40,32,31,52,24,27,22,381,64,223,251
"Missouri",2022,9,976,17,231,28,42,17,60,20,26,NULL,221,54,30,45
"District of Columbia",2021,12,111,0,23,NULL,0,0,0,0,NULL,0,30,11,11,13
"Texas",2020,3,3871,68,830,144,219,90,220,58,87,29,954,228,14,18
"Maine",2020,8,251,0,63,15,15,NULL,13,NULL,NULL,0,55,15,NULL,NULL
"Georgia",2020,7,1874,33,342,56,94,22,81,41,39,25,424,87,236,263
"Ohio",2021,9,2696,37,486,85,92,31,124,44,41,30,591,135,464,503
"Wyoming",2021,9,119,0,19,NULL,NULL,0,NULL,0,NULL,0,19,NULL,33,36
"Michigan",2022,6,1770,25,382,57,79,24,93,20,40,44,468,105,50,81
"United States",2021,7,51881,770,11573,1779,2045,698,2647,833,970,658,12521,2955,2087,2417
"Puerto Rico",2020,2,567,14,107,64,45,20,21,11,19,NULL,105,23,0,0
"Texas",2022,6,3848,62,843,144,188,43,174,64,87,114,901,223,73,107
"Colorado",2020,5,784,12,143,20,35,10,42,14,NULL,0,156,43,105,118
"Alabama",2022,1,1424,25,212,42,68,24,71,23,26,19,331,70,239,277
"Georgia",2021,6,1573,31,350,51,79,18,88,38,36,24,366,95,45,55
"Georgia",2020,3,1646,36,350,49,80,39,95,44,39,26,390,97,67,70
"Rhode Island",2021,10,194,NULL,42,NULL,11,NULL,12,0,NULL,0,46,14,11,12
"Idaho",2022,5,260,0,53,12,12,NULL,17,NULL,NULL,NULL,67,11,NULL,NULL
"North Dakota",2020,5,130,NULL,21,NULL,NULL,NULL,10,NULL,0,0,30,NULL,12,12
"New Jersey",2020,9,1278,34,292,41,37,17,47,30,34,20,334,68,27,33
"Massachusetts",2020,4,2060,24,248,38,34,50,66,30,26,16,267,53,774,808
"Colorado",2021,9,817,13,157,23,33,NULL,44,12,11,NULL,153,40,103,114
"Oklahoma",2020,2,750,13,156,27,37,18,60,10,11,NULL,223,38,0,0
"Maine",2022,1,363,0,65,14,13,NULL,22,11,NULL,0,80,15,55,64
"Arizona",2021,12,1755,13,251,60,58,27,73,26,18,17,310,72,464,494
"District of Columbia",2021,10,116,NULL,28,0,0,0,NULL,0,0,0,26,13,13,11
"Delaware",2021,11,193,0,39,10,11,NULL,13,NULL,0,0,36,14,19,22
"Delaware",2020,4,220,NULL,44,11,15,NULL,12,0,NULL,0,41,14,41,44
"Vermont",2021,2,129,0,32,NULL,NULL,0,NULL,0,0,0,33,NULL,NULL,NULL
"Hawaii",2022,4,214,NULL,49,11,16,NULL,NULL,NULL,NULL,NULL,47,17,NULL,NULL
"Ohio",2020,12,3792,41,475,103,146,47,140,50,45,43,676,159,1253,1369
"Utah",2022,6,385,NULL,67,15,22,12,18,NULL,NULL,14,83,20,13,15
"Louisiana",2021,4,865,18,181,35,38,12,40,18,18,14,234,58,37,43
"District of Columbia",2020,10,108,0,23,NULL,0,0,NULL,0,0,0,24,12,12,12
"Hawaii",2021,10,240,NULL,52,12,12,NULL,11,NULL,NULL,NULL,48,17,21,24
"Iowa",2020,5,620,NULL,122,20,28,NULL,32,11,11,12,138,25,85,91
"Idaho",2022,4,269,0,56,11,16,NULL,16,NULL,NULL,NULL,60,13,NULL,NULL
"Washington",2020,7,1043,13,243,37,71,10,47,14,NULL,11,212,61,52,57
"Arkansas",2021,8,833,13,130,32,34,11,46,11,18,10,171,30,201,218
"Wisconsin",2022,7,968,11,215,23,42,10,44,12,16,45,235,45,23,38
"Nebraska",2021,12,413,NULL,73,12,16,NULL,21,NULL,0,NULL,79,17,71,79
"Louisiana",2021,9,1182,24,177,37,43,15,38,19,21,12,259,50,300,319
"Virginia",2021,5,1318,18,295,43,43,15,56,24,25,13,302,77,74,86
"Louisiana",2022,9,541,14,128,24,28,NULL,26,14,12,11,134,37,16,25
"Puerto Rico",2021,4,584,13,103,63,53,12,20,11,17,0,100,22,36,40
"District of Columbia",2022,3,102,NULL,22,NULL,0,NULL,NULL,0,0,NULL,24,NULL,NULL,NULL
"Hawaii",2022,1,277,NULL,51,11,11,10,NULL,NULL,10,NULL,64,21,29,37
"Georgia",2020,11,1855,40,346,59,88,20,86,46,44,24,415,88,213,230
"Georgia",2020,10,1770,40,328,51,91,25,82,45,42,22,417,91,158,173
"Oklahoma",2021,8,959,NULL,176,32,27,12,57,15,13,NULL,228,32,208,232
"Delaware",2020,8,172,0,42,11,14,NULL,11,NULL,0,NULL,43,15,NULL,NULL
"Missouri",2022,2,1536,19,254,36,58,24,78,24,34,11,342,68,267,308
"Wisconsin",2021,9,1079,10,212,36,46,12,47,14,16,11,241,48,127,142
"Pennsylvania",2020,12,4035,46,525,109,111,42,123,47,62,53,752,153,1291,1426
"Michigan",2021,3,1828,24,392,63,70,21,101,23,32,12,488,109,97,119
"Utah",2020,5,338,NULL,59,16,19,NULL,15,NULL,11,NULL,79,20,14,14
"Tennessee",2022,9,1323,16,263,37,49,22,73,17,25,137,269,71,55,83
"Florida",2021,2,4799,59,907,157,144,54,204,61,75,67,1034,320,733,817
"Illinois",2021,8,1990,28,441,58,70,27,90,28,48,25,456,111,148,160
"Maine",2021,10,323,0,67,15,11,0,17,11,NULL,0,67,15,31,33
"Nevada",2020,12,785,NULL,107,21,17,12,33,NULL,10,12,164,33,253,269
"Vermont",2020,10,107,0,25,NULL,11,0,10,0,0,0,32,NULL,0,0
"South Carolina",2020,1,1053,18,199,43,51,22,71,23,25,10,219,55,68,73
"Maine",2022,7,269,0,61,13,11,NULL,14,10,10,NULL,62,12,NULL,11
"Idaho",2020,1,272,0,61,11,12,NULL,21,NULL,NULL,NULL,57,14,13,16
"Indiana",2021,8,1314,19,267,49,40,13,87,26,29,11,291,59,127,139
"Virginia",2022,6,1342,16,300,53,42,15,61,25,31,39,300,75,42,57
"South Carolina",2020,2,948,20,199,35,47,22,67,18,17,14,225,45,0,0
"Georgia",2020,2,1642,34,350,55,82,38,102,42,42,22,408,94,0,0
"Georgia",2022,2,2160,37,348,60,97,23,101,44,48,26,446,100,381,451
"North Dakota",2020,10,203,NULL,30,NULL,12,NULL,17,0,0,0,32,NULL,62,68
"Virginia",2022,4,1307,17,288,59,45,15,60,22,28,16,307,72,21,36
"Massachusetts",2022,5,1073,13,246,28,25,18,52,17,26,20,229,40,41,55
"Puerto Rico",2021,9,639,16,106,59,54,15,20,14,21,NULL,107,26,68,73
"New Mexico",2022,4,332,NULL,64,12,14,NULL,17,10,10,NULL,75,19,10,15
"Alabama",2022,4,966,21,178,32,41,16,55,22,27,20,267,60,19,23
"California",2022,5,4997,30,1147,199,302,81,213,54,90,165,1156,324,86,136
"Texas",2020,12,5592,77,804,174,254,62,192,62,91,39,1049,250,1533,1631
"Nebraska",2020,12,451,NULL,68,14,18,NULL,17,NULL,NULL,NULL,72,18,133,150
"Michigan",2021,5,2013,22,380,64,77,19,89,23,34,12,487,104,295,327
"Indiana",2020,5,1376,17,249,43,53,15,85,18,26,NULL,281,60,215,232
"District of Columbia",2021,9,104,NULL,20,0,0,0,0,0,0,0,25,12,11,11
"Colorado",2022,1,1061,12,168,33,45,15,57,14,14,NULL,196,45,200,247
"Hawaii",2022,5,237,0,48,10,16,NULL,NULL,NULL,NULL,10,60,16,NULL,11
"New Jersey",2021,5,1367,36,288,32,41,18,42,38,29,21,340,70,120,138
"Wyoming",2020,3,80,0,20,NULL,10,NULL,NULL,NULL,0,0,18,NULL,0,0
"Texas",2021,10,4911,66,832,147,195,49,192,60,83,43,967,224,1050,1114
"Massachusetts",2022,6,1034,19,234,24,26,17,48,19,26,45,214,37,29,45
"United States",2021,8,61980,770,11862,1973,2195,774,2765,870,1003,704,13172,3003,9850,10584
"New York",2020,6,1375,20,295,37,31,29,48,31,30,21,384,55,117,144
"Utah",2021,10,459,10,73,16,18,NULL,18,NULL,11,NULL,86,18,79,87
"Virginia",2021,3,1404,17,294,43,45,13,61,25,30,16,311,78,120,139
"Alaska",2021,6,77,0,19,NULL,0,0,NULL,0,0,NULL,16,NULL,NULL,NULL
"Wisconsin",2020,6,924,13,214,28,43,10,44,13,18,NULL,213,53,37,40
"Washington",2021,12,1254,19,266,44,81,13,59,18,12,14,251,63,100,114
"North Carolina",2021,12,2136,35,387,84,89,34,105,37,46,32,453,118,190,211
"New York",2022,4,1385,20,308,41,27,34,59,33,25,31,383,64,35,51
"Missouri",2020,3,1207,19,253,33,50,42,92,36,32,12,306,72,6,6
"United States",2020,2,54137,800,11808,1868,2513,1471,3423,982,1086,622,13691,3087,4,5
"Washington",2022,2,1306,15,267,44,76,13,49,18,13,22,257,67,160,213
"Maryland",2020,6,990,16,199,28,19,13,34,NULL,17,NULL,228,50,150,168
"Indiana",2021,11,1487,16,264,47,48,15,92,27,31,10,325,68,189,211
"New York",2021,6,1320,19,308,40,27,27,51,25,21,29,372,55,38,49
"Massachusetts",2021,7,989,16,240,27,25,10,47,22,23,17,227,41,14,17
"Idaho",2021,1,312,NULL,58,13,16,NULL,17,0,NULL,NULL,67,13,47,56
"South Carolina",2020,3,985,13,214,33,57,20,59,24,21,11,225,59,5,6
"Wyoming",2021,8,107,0,20,NULL,10,0,12,NULL,0,0,23,NULL,17,18
"Arizona",2020,12,1868,10,245,61,67,26,79,24,15,23,304,72,575,622
"Arizona",2020,3,1201,12,258,46,65,33,85,26,16,20,285,67,9,15
"Puerto Rico",2020,7,558,12,101,60,51,13,17,13,18,13,109,24,15,17
"North Carolina",2020,5,1812,28,372,65,88,29,90,29,36,19,387,96,110,122
"Hawaii",2022,7,225,NULL,46,NULL,13,NULL,10,0,10,14,46,17,11,14
"Rhode Island",2020,8,180,0,45,NULL,12,0,11,NULL,0,0,42,12,13,17
"Florida",2021,8,6313,57,896,201,141,59,236,65,71,78,1046,312,2147,2293
"Rhode Island",2020,9,177,NULL,41,NULL,10,NULL,10,NULL,NULL,0,39,NULL,12,13
"Nevada",2021,5,483,NULL,95,17,13,12,26,NULL,NULL,10,132,28,27,30
"Montana",2022,1,247,NULL,41,NULL,NULL,NULL,16,NULL,0,0,60,11,31,40
"Massachusetts",2020,11,1132,14,253,25,36,21,47,16,20,12,224,44,95,110
"Kentucky",2021,10,1153,21,189,32,30,16,64,15,22,12,221,49,266,297
"California",2021,6,4722,27,1135,184,293,71,198,55,82,34,1162,318,81,105
"Nebraska",2021,3,309,NULL,65,12,14,NULL,15,NULL,NULL,NULL,70,17,11,18
"United States",2020,9,54344,726,11584,1860,2427,713,2575,778,925,596,12569,2983,4018,4558
"South Carolina",2021,7,934,15,208,26,38,12,53,15,18,NULL,220,58,27,31
"Illinois",2021,9,2111,27,449,69,80,31,98,29,46,26,457,114,245,266
"District of Columbia",2020,5,168,NULL,22,NULL,0,NULL,NULL,0,0,0,30,NULL,63,64
"Montana",2020,10,256,0,38,11,12,NULL,15,NULL,NULL,0,52,16,52,59
"Michigan",2020,7,1715,24,401,58,85,17,96,18,36,17,465,98,29,39
"Ohio",2022,4,2170,38,465,78,85,27,125,45,48,32,542,139,38,70
"Colorado",2020,7,691,NULL,151,21,42,10,37,12,12,NULL,146,47,25,32
"Oklahoma",2020,6,683,NULL,158,29,27,11,40,11,14,NULL,212,33,13,16
"New Mexico",2020,9,335,0,70,14,14,NULL,15,NULL,NULL,NULL,70,20,10,11
"Missouri",2020,6,1125,18,258,31,41,15,57,24,26,10,292,58,41,47
"Washington",2020,2,1064,13,246,38,72,24,61,16,14,11,236,65,0,0
"Illinois",2022,2,2374,35,440,72,89,30,98,30,53,29,533,133,316,387
"New Jersey",2021,12,1583,39,302,40,49,25,54,44,37,29,389,84,141,159
"Nevada",2022,7,516,NULL,105,13,17,13,26,NULL,NULL,23,144,27,25,36
"Louisiana",2022,4,794,23,168,26,32,14,38,24,20,12,223,48,14,22
"Iowa",2020,3,570,10,116,15,28,23,42,12,10,NULL,142,23,0,0
"Wyoming",2020,11,124,0,18,NULL,NULL,0,10,0,0,0,20,NULL,35,37
"Pennsylvania",2021,9,2623,49,542,66,80,35,101,47,55,47,602,128,273,298
"Missouri",2021,4,1180,19,262,35,38,13,69,29,33,15,299,66,45,52
"Missouri",2021,9,1395,20,251,38,50,17,77,25,25,13,303,69,239,254
"Delaware",2021,2,212,NULL,42,NULL,10,NULL,14,NULL,NULL,0,51,14,31,37
"Arizona",2021,10,1406,10,247,51,53,19,71,20,16,16,266,59,240,258
"Alabama",2021,8,1399,20,203,38,48,15,66,16,20,23,305,67,350,367
"Connecticut",2021,5,545,13,120,15,19,11,20,12,13,11,128,27,26,31
"Maryland",2021,9,990,18,203,33,24,11,33,12,14,NULL,225,64,99,111
"Arizona",2021,8,1328,11,259,44,49,16,67,19,14,23,268,69,160,170
"Oklahoma",2022,5,724,NULL,163,26,24,14,50,12,15,35,205,30,10,18
"New Jersey",2020,3,1570,45,295,43,50,48,62,48,36,26,404,76,107,113
"Kentucky",2022,1,1307,25,218,40,37,16,76,18,30,13,244,49,281,327
"Kansas",2021,10,554,NULL,96,18,14,NULL,30,10,12,NULL,116,27,71,77
"California",2021,4,4930,27,1108,200,294,78,199,53,79,27,1226,340,200,251
"Connecticut",2020,7,516,10,120,14,18,NULL,22,16,12,NULL,131,25,14,19
"Massachusetts",2021,8,1013,16,256,24,23,12,47,15,22,19,215,41,30,34
"Massachusetts",2020,3,1153,21,255,29,37,41,60,23,32,14,240,45,24,26
"Oregon",2022,4,734,NULL,165,30,35,11,37,12,11,21,149,47,11,21
"Illinois",2022,5,1873,27,419,59,78,29,96,31,55,24,458,116,38,59
"Delaware",2020,5,231,0,37,NULL,12,NULL,13,NULL,NULL,0,39,15,62,64
"Idaho",2020,4,257,0,55,10,15,5,18,NULL,NULL,NULL,56,12,15,15
"Tennessee",2021,7,1348,18,286,45,52,20,81,21,22,19,330,73,51,55
"Delaware",2022,4,186,NULL,46,NULL,15,NULL,13,NULL,NULL,0,46,16,NULL,NULL
"West Virginia",2021,3,444,NULL,88,20,21,10,28,NULL,12,17,101,17,21,25
"Nebraska",2022,4,306,NULL,61,11,16,NULL,15,NULL,NULL,NULL,67,14,NULL,12
"Georgia",2020,6,1615,33,338,43,81,26,83,44,43,25,369,76,101,116
"Colorado",2021,10,910,12,161,21,31,11,47,15,12,NULL,166,38,163,179
"Puerto Rico",2022,7,637,11,106,60,59,15,18,NULL,25,21,103,25,38,47
"Florida",2022,6,4096,54,924,135,117,56,211,55,72,123,941,304,157,225
"Oregon",2021,10,871,NULL,162,28,42,NULL,39,13,11,14,162,53,128,148
"United States",2021,1,76622,842,11628,2309,2804,999,2934,942,1196,710,14811,3400,19621,21509
"United States",2021,10,62279,854,11769,1945,2265,828,2747,892,1034,698,13255,3132,9303,10177
"Pennsylvania",2020,7,2326,45,513,74,86,24,102,35,52,52,569,120,97,117
"Maine",2020,6,242,0,63,10,10,NULL,14,NULL,NULL,0,52,14,NULL,NULL
"Tennessee",2020,4,1383,16,272,55,74,32,93,20,22,16,348,74,45,45
"North Dakota",2021,7,121,NULL,25,NULL,NULL,NULL,NULL,NULL,0,0,32,NULL,NULL,NULL
"Delaware",2021,6,165,NULL,42,NULL,10,NULL,NULL,NULL,NULL,0,37,15,NULL,NULL
"Idaho",2022,8,291,NULL,58,14,14,NULL,20,NULL,NULL,19,64,14,11,17
"New Hampshire",2022,8,241,0,49,15,NULL,0,11,NULL,NULL,18,53,13,NULL,NULL
"South Carolina",2020,9,1057,16,211,36,45,14,56,17,16,10,205,51,127,146
"New Jersey",2020,6,1369,30,272,37,39,19,47,31,28,19,337,54,169,210
"Montana",2020,2,196,0,43,NULL,11,NULL,13,NULL,NULL,NULL,50,13,0,0
"Louisiana",2022,2,1101,17,178,41,47,13,45,22,27,17,261,59,173,205
"Kentucky",2022,9,645,12,152,19,18,10,45,11,17,14,147,33,32,58
"Iowa",2020,11,887,NULL,109,21,32,13,35,13,10,10,136,27,319,347
"United States",2022,5,52005,757,11452,1769,2110,769,2720,848,1046,1154,12606,2968,1068,1684
"South Carolina",2021,9,1386,10,201,37,47,13,51,16,21,12,229,56,449,470
"Illinois",2020,12,3019,30,459,69,110,42,106,27,52,31,566,128,867,966
"Nebraska",2022,9,204,NULL,48,NULL,10,NULL,12,0,NULL,19,47,14,NULL,15
"Washington",2021,1,1257,15,262,45,78,12,49,15,12,17,246,64,145,170
"Pennsylvania",2020,8,2364,47,547,75,81,29,102,37,49,53,572,120,99,113
"Minnesota",2020,1,937,12,200,30,54,15,53,14,12,26,183,46,46,56
"South Carolina",2021,2,1233,14,198,35,55,11,56,18,19,10,241,62,258,280
"Kentucky",2021,8,1052,17,190,30,28,18,61,16,22,11,225,46,167,183
"California",2020,9,5195,26,1138,205,336,82,205,44,69,21,1171,328,469,519
"Hawaii",2020,10,212,NULL,47,NULL,13,NULL,NULL,NULL,NULL,0,45,13,15,16
"New York",2020,3,1788,21,324,57,43,73,80,37,30,25,491,65,227,242
"Massachusetts",2021,4,1015,14,231,26,29,17,36,17,25,13,219,43,53,64
"New Hampshire",2021,1,293,0,56,NULL,11,NULL,14,NULL,NULL,NULL,54,12,59,67
"North Carolina",2022,1,2535,29,397,98,98,33,105,37,49,42,482,123,504,565
"Alabama",2020,2,1021,19,195,24,52,29,74,18,19,23,280,64,0,0
"New Jersey",2021,7,1236,31,282,38,38,15,50,30,29,22,325,64,22,30
"Wisconsin",2021,12,1332,15,222,37,59,16,55,13,20,12,265,52,272,299
"Nebraska",2020,6,304,NULL,64,13,12,NULL,20,NULL,NULL,NULL,65,15,20,22
"New Mexico",2021,2,402,NULL,68,13,11,NULL,19,NULL,12,NULL,76,20,70,79
"Missouri",2022,3,1252,22,248,36,45,18,70,19,32,NULL,308,67,70,85
"Kansas",2022,8,508,10,100,19,18,11,26,NULL,16,37,104,22,19,28
"Virginia",2020,10,1364,20,299,47,53,17,57,19,30,13,293,75,97,107
"Delaware",2020,9,173,NULL,38,NULL,10,0,14,NULL,NULL,0,39,17,NULL,NULL
"Tennessee",2020,2,1389,18,291,49,67,41,106,24,23,18,350,73,0,0
"Alaska",2020,8,82,0,19,NULL,NULL,0,NULL,0,0,0,18,NULL,NULL,NULL
"Utah",2021,12,458,12,69,18,22,11,19,11,13,NULL,90,19,67,71
"Illinois",2022,7,1927,33,425,58,74,33,88,27,47,85,452,121,57,81
"Oregon",2020,4,709,10,162,25,42,13,35,10,NULL,15,141,43,25,26
"Arkansas",2021,10,717,14,128,26,30,11,48,11,17,NULL,161,32,95,102
"Kansas",2021,2,559,11,96,16,19,12,29,13,14,NULL,126,24,62,75
"Georgia",2022,5,1592,35,359,47,73,21,89,36,38,22,375,87,17,25
"Washington",2020,8,1060,14,257,40,68,10,42,13,13,11,212,56,60,70
"Nevada",2020,9,516,NULL,105,19,19,10,27,0,NULL,NULL,122,26,51,57
"Missouri",2021,10,1325,23,270,31,50,15,63,27,32,14,304,67,150,162
"Nevada",2021,12,620,NULL,97,15,19,14,33,NULL,11,10,159,36,102,105
"Minnesota",2021,9,879,11,205,26,42,11,38,13,10,23,162,42,72,82
"Montana",2020,3,198,NULL,42,0,NULL,10,14,NULL,0,NULL,44,12,0,0
"District of Columbia",2020,8,102,0,20,NULL,0,0,NULL,0,0,0,26,11,10,10
"Delaware",2022,5,178,NULL,39,11,10,NULL,11,0,NULL,NULL,43,15,NULL,NULL
"Puerto Rico",2020,12,657,15,98,59,49,15,28,12,18,11,110,24,89,104
"Puerto Rico",2020,4,549,14,99,68,53,15,21,11,16,13,96,22,15,19
"Washington",2022,3,1136,13,255,37,67,13,54,14,12,20,247,63,41,64
"Nevada",2021,6,482,NULL,97,14,15,10,26,11,NULL,NULL,140,28,23,28
"Kentucky",2022,3,994,22,196,31,28,14,61,16,24,15,215,40,97,136
"Tennessee",2022,8,1444,18,286,45,59,18,70,20,17,110,329,67,70,93
"South Carolina",2020,8,1175,19,205,34,55,13,54,15,20,13,214,55,219,241
"Wyoming",2021,11,128,0,20,NULL,NULL,0,11,NULL,0,0,24,NULL,35,38
"North Carolina",2021,10,2166,34,393,75,82,33,92,28,39,25,405,113,366,394
"Massachusetts",2021,5,1016,17,246,28,27,15,45,15,23,13,215,42,45,50
"Washington",2022,8,1130,13,248,32,61,12,51,16,12,61,231,56,38,60
"Pennsylvania",2020,5,2964,36,526,78,84,36,104,35,54,39,609,129,634,675
"Georgia",2021,11,1825,37,343,54,89,28,85,35,39,25,446,104,116,133
"South Dakota",2020,11,322,NULL,34,10,13,NULL,NULL,NULL,0,0,37,12,154,163
"Puerto Rico",2020,11,618,14,108,60,52,16,19,NULL,18,14,104,22,69,77
"West Virginia",2021,6,416,NULL,94,19,15,NULL,30,NULL,15,11,95,19,15,19
"Texas",2022,4,3853,67,829,134,177,46,187,66,96,67,917,229,65,109
"Alabama",2021,12,1103,24,190,31,51,20,63,17,24,18,300,63,60,67
"Montana",2022,8,194,NULL,37,NULL,10,0,14,0,NULL,11,48,NULL,NULL,14
"Tennessee",2022,2,1932,23,281,65,68,28,90,22,27,21,408,93,415,482
"Hawaii",2022,6,232,NULL,46,NULL,11,10,NULL,NULL,NULL,13,55,18,11,16
"Pennsylvania",2022,3,2468,44,527,88,73,32,107,46,65,37,630,131,106,151
"Tennessee",2021,2,1630,21,283,60,63,21,77,20,28,19,383,81,220,252
"Hawaii",2022,9,195,NULL,40,NULL,16,NULL,NULL,NULL,0,30,37,13,NULL,10
"West Virginia",2022,2,579,11,89,27,19,13,27,NULL,11,13,120,19,118,140
"Oregon",2021,4,697,NULL,166,25,34,0,34,14,12,12,144,44,21,26
"North Carolina",2021,2,2255,30,391,71,92,31,89,33,49,18,429,122,381,441
"Hawaii",2021,1,209,NULL,48,10,10,NULL,15,NULL,NULL,0,42,15,12,11
"District of Columbia",2021,11,109,NULL,23,NULL,NULL,NULL,0,0,0,0,30,11,NULL,NULL
"Rhode Island",2022,8,183,NULL,42,0,11,0,11,NULL,NULL,14,40,NULL,NULL,10
"Nebraska",2021,9,346,NULL,69,12,12,NULL,19,10,NULL,NULL,67,13,39,42
"California",2022,3,5385,37,1140,224,307,94,232,65,94,100,1276,356,283,376
"Rhode Island",2022,6,175,0,37,NULL,12,NULL,NULL,0,NULL,12,43,12,NULL,12
"Colorado",2020,11,995,11,160,22,54,NULL,56,13,20,NULL,162,47,220,252
"Pennsylvania",2021,12,3385,54,537,90,92,48,117,45,64,59,714,146,733,798
"Indiana",2022,9,996,16,242,30,31,10,71,15,26,20,218,51,33,48
"North Carolina",2022,3,1802,27,362,65,80,20,95,34,44,38,370,108,110,154
"Maine",2020,5,254,0,62,13,13,0,17,NULL,NULL,0,52,14,13,11
"Arkansas",2020,1,671,13,126,24,36,18,54,13,14,NULL,170,30,51,56
"Montana",2021,6,193,NULL,40,NULL,NULL,NULL,12,NULL,NULL,0,52,13,11,15
"Vermont",2022,6,117,0,29,NULL,NULL,0,11,NULL,0,NULL,29,NULL,0,NULL
"Texas",2022,1,5875,81,901,198,254,75,234,83,108,47,1172,287,1296,1468
"Georgia",2020,1,1831,38,341,52,100,48,109,47,44,22,415,93,126,137
"South Carolina",2022,9,942,16,200,24,42,12,49,17,17,92,174,52,26,41
"Colorado",2022,2,887,11,155,23,32,10,52,14,13,NULL,165,49,130,170
"Arizona",2020,2,1168,NULL,253,48,62,32,81,19,14,21,285,66,0,0
"Pennsylvania",2022,9,2217,44,502,60,62,22,90,40,51,136,487,121,75,113
"Oregon",2022,6,723,NULL,149,27,35,13,38,NULL,11,31,152,45,21,34
"Idaho",2020,11,368,0,63,12,20,NULL,14,0,NULL,NULL,69,17,76,87
"Oklahoma",2020,8,774,15,154,28,32,12,52,NULL,11,12,214,37,66,79
"Kansas",2020,4,497,NULL,102,20,16,15,29,12,NULL,NULL,114,25,27,30
"Maryland",2022,1,1401,19,212,45,27,16,42,13,15,NULL,292,65,352,423
"Wisconsin",2022,9,895,11,216,25,34,NULL,34,13,14,55,193,45,24,37
"South Dakota",2021,12,196,NULL,38,11,11,NULL,12,NULL,0,0,33,10,35,37
"Idaho",2020,5,242,0,54,11,13,NULL,15,0,NULL,NULL,55,13,NULL,NULL
"United States",2022,2,67782,838,11599,2136,2649,902,2945,939,1232,836,14553,3462,11048,13454
"United States",2021,5,52722,706,11480,1835,2082,672,2583,843,975,583,12570,2968,3058,3583
"Massachusetts",2021,11,1180,17,259,35,35,17,56,22,22,18,229,51,72,80
"Kentucky",2021,12,1138,19,196,33,31,20,66,17,20,18,248,48,173,192
"California",2021,11,5507,38,1136,211,298,90,224,69,89,56,1234,344,522,574
"Louisiana",2021,2,1045,21,171,38,40,14,44,21,22,15,258,59,148,161
"Idaho",2020,9,291,0,59,15,18,0,16,NULL,NULL,0,63,17,22,26
"Vermont",2022,5,113,0,29,NULL,10,0,NULL,0,0,0,27,NULL,NULL,10
"Oklahoma",2021,5,700,NULL,155,29,29,12,50,NULL,12,0,215,29,18,26
"Wisconsin",2022,4,960,12,216,26,41,11,49,17,19,21,234,48,22,22
"Minnesota",2021,6,780,12,193,31,30,NULL,32,12,13,20,149,42,21,28
"Puerto Rico",2021,12,582,12,95,65,57,16,13,10,18,NULL,117,27,NULL,10
